step,eval_loss,eval_PPL
800,4.104688335210085,60.623847284325464
1600,3.795328227803111,44.49283779551037
2400,3.7404686212539673,42.117722801142754
3200,3.7460335064679384,42.35275645511568
4000,3.7594109065830708,42.92313279450709
4800,3.788950076326728,44.20995881789913
5600,3.800287267193198,44.71402752170489
6400,3.8320772163569927,46.1583195368835
7200,3.876254715025425,48.24319178972472
8000,3.8983555864542723,49.321277806911645
8800,3.926959728822112,50.75244168692134
9600,3.9448826890438795,51.67027626704167
10400,3.970001172274351,52.98459295211908
11200,3.989642320200801,54.03555847869294
12000,3.9988054763525724,54.53297018900678
12800,3.9877981655299664,53.93600037961567
13600,4.035507896915078,56.57164550720176
14400,3.9806421902030706,53.55141338036552
15200,4.019905902445316,55.69586473553494
16000,4.0359779838472605,56.59824535011618
16800,4.067312825471163,58.39982104147391
17600,4.027920322492719,56.144028277037116
18400,4.061937322840095,58.0867349014082
19200,4.0802639070898294,59.16108081853899
20000,4.09601210616529,60.100136104064205
20800,4.111215142533183,61.02082153271936
21600,4.0490146316587925,57.3409272643101
22400,4.091498574241996,59.82948348027011
23200,4.08821838721633,59.633553104622
24000,4.10312344878912,60.52905204016383
24800,4.059076683595777,57.92080715084486
25600,4.08616316318512,59.51111865142655
26400,4.089192425832152,59.69166678603491
27200,4.136022550985217,62.55352254440565
28000,4.123140420764685,61.752868061198335
28800,4.119829796254635,61.54876554244722
29600,4.104762507602572,60.62834406688684
30400,4.138491947203875,62.708182856643475
31200,4.1499737072736025,63.43233246723519
32000,4.151762533932924,63.545903463744025
32800,4.110560895875096,60.980911920946504
33600,4.123834777623415,61.79576147862883
34400,4.154013276100159,63.689089985749646
35200,4.110183645039797,60.95791115978797
36000,4.132553102448583,62.336872362799866
36800,4.158226219937205,63.95797454496531
37600,4.165758298709989,64.44152984961384
38400,4.15064949542284,63.4752137735024
39200,4.17233906686306,64.86700305175387
40000,4.191985972225666,66.15404067552433
